origin_id,destination_id,origin_value,destination_value,distance_m,reward
S003,S046,474926.85,41735.00,15884.47,1247827.441993
S003,S047,474926.85,30000.00,3438.81,4143238.516475
S003,S048,474926.85,30000.00,6371.75,2236090.485943
S003,S049,474926.85,30000.00,14375.93,991087.494747
S003,S050,474926.85,30000.00,10038.91,1419258.632093
S003,S051,474926.85,30000.00,12961.83,1099212.099383
S003,S052,474926.85,30000.00,8932.46,1595060.339813
S003,S053,474926.85,30000.00,12901.05,1104391.286717
S003,S054,474926.85,30000.00,3802.24,3747209.358613
S004,S005,455777.26,407749.16,3260.00,57007078.202776
S004,S006,455777.26,388392.48,2772.04,63859344.741029
S004,S007,455777.26,325443.30,5856.84,25325906.758380
S004,S008,455777.26,322506.00,9065.33,16214614.563812
S004,S009,455777.26,301965.00,2323.02,59245676.928920
S004,S010,455777.26,300000.00,4343.58,31479347.006866
S004,S011,455777.26,291757.76,4056.12,32784183.249939
S004,S012,455777.26,256253.00,2481.02,47075104.827576
S004,S013,455777.26,255969.52,7262.53,16063969.303812
S004,S014,455777.26,255460.18,8551.76,13615086.571749
S004,S015,455777.26,248397.61,10862.54,10422417.937485
S004,S016,455777.26,238774.51,7118.23,15288639.692744
S004,S017,455777.26,229598.00,6766.31,15465682.826062
S004,S018,455777.26,225003.45,9254.90,11080771.295725
S004,S019,455777.26,220000.00,6999.87,14324692.752531
S004,S020,455777.26,216504.00,8520.92,11580632.948187
S004,S021,455777.26,213704.16,9628.92,10115521.009027
S004,S022,455777.26,210696.11,5413.24,17739917.288476
S004,S023,455777.26,198527.22,2594.40,34876735.704234
S004,S024,455777.26,197250.99,7379.73,12182366.334100
S004,S025,455777.26,159783.00,2851.08,25543091.587337
S004,S026,455777.26,149164.40,6553.98,10373202.023220
S004,S027,455777.26,127590.00,5267.01,11040912.937382
S004,S028,455777.26,123739.00,8306.62,6789455.892135
S004,S029,455777.26,123552.00,10477.98,5374336.776320
S004,S030,455777.26,120000.00,1758.58,31100772.239930
S004,S031,455777.26,120000.00,4348.86,12576468.814305
S004,S032,455777.26,114442.00,8836.55,5902763.408320
S004,S033,455777.26,109914.00,1319.84,37956267.059157
S004,S034,455777.26,106912.00,5040.34,9667610.372503
S004,S035,455777.26,98981.00,1447.00,31177212.363502
S004,S036,455777.26,93904.00,5518.99,7754919.420623
S004,S037,455777.26,93226.00,7450.85,5702742.138234
S004,S038,455777.26,89049.00,8154.36,4977280.024472
S004,S039,455777.26,82028.00,6713.14,5569155.463756
S004,S040,455777.26,76596.00,2938.75,11879446.727969
S004,S041,455777.26,70363.00,10544.21,3041465.588039
S004,S042,455777.26,60000.00,8136.95,3360798.069689
S004,S043,455777.26,60000.00,10266.04,2663797.246077
S004,S044,455777.26,52204.00,5925.79,4015227.440673
S004,S045,455777.26,44256.00,10838.34,1861067.838996
S004,S046,455777.26,41735.00,5563.57,3419003.135770
S004,S047,455777.26,30000.00,7776.94,1758186.520570
S004,S048,455777.26,30000.00,5525.01,2474805.052057
S004,S049,455777.26,30000.00,11460.32,1193100.920114
S004,S050,455777.26,30000.00,11197.92,1221058.833174
S004,S051,455777.26,30000.00,5975.20,2288346.198826
S004,S052,455777.26,30000.00,8767.05,1559626.726692
S004,S053,455777.26,30000.00,9058.26,1509485.456327
S004,S054,455777.26,30000.00,13591.98,1005984.036425
S005,S006,407749.16,388392.48,4258.26,37190500.496352
S005,S007,407749.16,325443.30,4373.63,30340761.894745
S005,S008,407749.16,322506.00,6083.36,21616582.756367
S005,S009,407749.16,301965.00,2373.65,51872073.568278
S005,S010,407749.16,300000.00,3317.94,36867723.786240
S005,S011,407749.16,291757.76,5824.05,20426338.961054
S005,S012,407749.16,256253.00,1363.55,76628828.782948
S005,S013,407749.16,255969.52,9051.84,11530403.518422
S005,S014,407749.16,255460.18,5340.07,19506062.492501
S005,S015,407749.16,248397.61,10592.16,9562155.045610
S005,S016,407749.16,238774.51,3986.62,24421701.122459
S005,S017,407749.16,229598.00,4923.11,19016105.689528
S005,S018,407749.16,225003.45,6528.04,14053991.826863
S005,S019,407749.16,220000.00,8398.89,10680560.171179
S005,S020,407749.16,216504.00,6614.17,13346996.376849
S005,S021,407749.16,213704.16,7648.38,11392958.314684
S005,S022,407749.16,210696.11,7876.20,10907685.949607
S005,S023,407749.16,198527.22,5655.70,14312861.342684
S005,S024,407749.16,197250.99,4934.28,16300046.361546
S005,S025,407749.16,159783.00,1903.89,34220169.352976
S005,S026,407749.16,149164.40,6891.25,8825920.077451
S005,S027,407749.16,127590.00,2007.03,25921278.122992
S005,S028,407749.16,123739.00,8055.99,6262972.323294
S005,S029,407749.16,123552.00,8766.91,5746407.595750
S005,S030,407749.16,120000.00,1661.89,29442278.810314
S005,S031,407749.16,120000.00,1665.57,29377353.653594
S005,S032,407749.16,114442.00,5778.73,8075072.028535
S005,S033,407749.16,109914.00,3791.65,11820023.311761
S005,S034,407749.16,106912.00,2217.44,19659237.949534
S005,S035,407749.16,98981.00,3950.21,10217036.580574
S005,S036,407749.16,93904.00,5319.06,7198504.457391
S005,S037,407749.16,93226.00,6263.35,6069087.755031
S005,S038,407749.16,89049.00,8798.09,4126992.509545
S005,S039,407749.16,82028.00,3984.65,8393925.531904
S005,S040,407749.16,76596.00,5375.55,5809999.045968
S005,S041,407749.16,70363.00,9644.09,2974926.203103
S005,S042,407749.16,60000.00,4946.33,4946082.516365
S005,S043,407749.16,60000.00,7109.64,3441095.450804
S005,S044,407749.16,52204.00,7616.14,2794870.617140
S005,S045,407749.16,44256.00,8063.03,2238035.974165
S005,S046,407749.16,41735.00,8469.89,2009165.766037
S005,S047,407749.16,30000.00,4518.23,2707361.696964
S005,S048,407749.16,30000.00,2582.86,4736022.857865
S005,S049,407749.16,30000.00,11578.11,1056517.467372
S005,S050,407749.16,30000.00,9886.15,1237333.965640
S005,S051,407749.16,30000.00,7210.23,1696543.632643
S005,S052,407749.16,30000.00,7484.10,1634461.951045
S005,S053,407749.16,30000.00,9276.40,1318666.307912
S005,S054,407749.16,30000.00,10554.62,1158968.268735
S006,S007,388392.48,325443.30,4222.92,29931865.857839
S006,S008,388392.48,322506.00,10293.94,12168212.087704
S006,S009,388392.48,301965.00,1903.28,61620528.330172
S006,S010,388392.48,300000.00,6681.16,17439757.868086
S006,S011,388392.48,291757.76,1572.47,72062528.183473
S006,S012,388392.48,256253.00,2899.53,34325086.489833
S006,S013,388392.48,255969.52,4852.42,20488065.883077
S006,S014,388392.48,255460.18,9315.11,10651386.791323
S006,S015,388392.48,248397.61,8183.12,11789607.702364
S006,S016,388392.48,238774.51,7056.51,13142230.980207
S006,S017,388392.48,229598.00,8880.40,10041682.494038
S006,S018,388392.48,225003.45,8332.30,10488064.613275
S006,S019,388392.48,220000.00,4369.74,19554089.814810
S006,S020,388392.48,216504.00,10638.96,7903830.055562
S006,S021,388392.48,213704.16,7916.19,10484979.252428
S006,S022,388392.48,210696.11,3711.82,22046512.719245
