line_id,station_sequence,length,covered_population,direct_od_coverage,construction_cost
L0177,"['S012', 'S009', 'S006', 'S011', 'S051', 'S026', 'S028', 'S015']",12972.356053931206,599156.0,0.1290614655875214,12.972356053931204
L0178,"['S012', 'S005', 'S027', 'S034', 'S016']",7270.841277026773,370755.0,0.025439520080223786,7.270841277026774
L0179,"['S012', 'S005', 'S027', 'S034', 'S016', 'S032', 'S018']",10867.633887349992,455197.0,0.03249390838377454,10.86763388734999
L0180,"['S012', 'S009', 'S006', 'S011', 'S044', 'S019']",7576.4178524374365,531113.0,0.12511871916610667,7.5764178524374355
L0181,"['S013', 'S051', 'S026', 'S036', 'S007', 'S034', 'S016', 'S047', 'S014']",15909.096734759827,230512.0,0.0034291402766402452,15.909096734759824
L0182,"['S013', 'S019', 'S038', 'S053', 'S015']",6827.386196834592,85557.0,0.0005745927269603027,6.827386196834592
L0183,"['S013', 'S051', 'S026', 'S036', 'S007', 'S034', 'S016']",12872.54356105778,140816.0,0.001241090300048085,12.87254356105778
L0184,"['S013', 'S044', 'S011', 'S006', 'S009', 'S012', 'S005', 'S031', 'S001', 'S017']",14208.595100034576,938771.0,0.20919728441979044,14.208595100034573
L0185,"['S013', 'S051', 'S026', 'S036', 'S037', 'S021', 'S018']",13748.610892800803,202079.0,0.006633794695414607,13.748610892800803
L0186,"['S013', 'S044', 'S011', 'S006', 'S009', 'S012', 'S005', 'S031', 'S001', 'S020']",15954.117448328645,925677.0,0.16870560569752682,15.954117448328644
L0187,"['S014', 'S042', 'S032', 'S018', 'S021', 'S029', 'S041', 'S015']",14581.122615031934,439510.0,0.02479692809529764,14.581122615031934
L0188,"['S014', 'S042', 'S032', 'S018']",5530.668350248635,174138.0,0.0026575663972162756,5.530668350248635
L0189,"['S014', 'S047', 'S016', 'S034', 'S007', 'S036', 'S026', 'S051', 'S019']",14982.463803267588,230512.0,0.0034291402766402452,14.982463803267589
L0190,"['S015', 'S041', 'S029', 'S021', 'S018', 'S032', 'S016']",12647.246875106519,349814.0,0.020265136955933637,12.647246875106518
L0191,"['S015', 'S041', 'S052', 'S037', 'S007', 'S034', 'S027', 'S048', 'S001', 'S017']",17249.807512972337,772257.0,0.09117739053631883,17.249807512972332
L0192,"['S015', 'S041', 'S029', 'S021', 'S018']",9050.4542647833,265372.0,0.016762849262293943,9.050454264783301
L0193,"['S015', 'S053', 'S038', 'S019']",5648.619519712515,85557.0,0.0005745927269603027,5.648619519712515
